AR,PR,MAL,MIL,EC,ED,CA,EX,AS,RO,class
11648,445.527,178.4659,84.9327,0.8795,121.7813,12135,0.566,2.1013,0.7374,1
12769,447.83,184.4764,88.6296,0.877,127.5068,13024,0.6733,2.0814,0.8001,1
14835,488.965,196.5303,97.3891,0.8686,137.4355,15263,0.691,2.018,0.7797,1
9475,408.427,178.9363,67.5776,0.9259,109.836,9652,0.5299,2.6479,0.7138,1
12849,456.372,188.4676,88.1827,0.8838,127.9056,13187,0.7814,2.1372,0.7752,1
14883,485.363,203.2395,94.3304,0.8858,137.6576,15093,0.6267,2.1545,0.7939,1
13545,470.587,198.7273,88.0138,0.8966,131.3241,13788,0.5821,2.2579,0.7686,1
13084,460.91,190.8731,88.5734,0.8858,129.07,13347,0.5865,2.155,0.774,1
12501,451.281,185.8183,87.0528,0.8835,126.1617,12844,0.6212,2.1345,0.7714,1
15917,515.441,212.7014,97.5204,0.8887,142.3592,16400,0.6048,2.1811,0.7529,1
14106,476.343,196.1112,92.5838,0.8815,134.0161,14485,0.5871,2.1182,0.7812,1
14301,480.164,187.6669,99.3781,0.8483,134.9392,14951,0.607,1.8884,0.7795,1
13938,472.339,193.2652,93.5004,0.8752,133.2157,14269,0.5999,2.067,0.7851,1
14829,480.976,199.1518,95.1992,0.8783,137.4077,15083,0.7572,2.0919,0.8055,1
14540,483.862,198.2025,95.1757,0.8772,136.0621,15005,0.7734,2.0825,0.7804,1
13409,460.872,186.1797,93.2367,0.8656,130.6632,13667,0.7145,1.9968,0.7933,1
13637,457.787,189.1338,92.4826,0.8723,131.7694,13834,0.8014,2.0451,0.8177,1
10760,414.906,170.6515,81.9291,0.8772,117.0472,11037,0.7535,2.0829,0.7855,1
12206,445.762,185.6769,84.6475,0.89,124.6642,12500,0.7538,2.1935,0.7719,1
12550,453.018,187.1744,86.4708,0.8869,126.4087,12793,0.6137,2.1646,0.7685,1
12488,458.579,191.061,84.4833,0.8969,126.0961,12813,0.5513,2.2615,0.7462,1
12843,466.299,197.1622,83.9702,0.9048,127.8758,13166,0.6398,2.348,0.7422,1
15532,506.083,207.2012,97.0122,0.8836,140.627,16026,0.5726,2.1358,0.7621,1
14446,488.048,203.3706,91.7769,0.8924,135.6216,14800,0.6465,2.2159,0.7621,1
11223,442.892,190.5174,75.9964,0.917,119.539,11463,0.7753,2.5069,0.719,1
13939,470.102,199.0918,89.5399,0.8932,133.2204,14131,0.7054,2.2235,0.7926,1
11548,436.71,186.0869,79.7724,0.9035,121.2575,11740,0.5749,2.3327,0.7609,1
9866,413.913,177.7572,71.2339,0.9162,112.0794,10067,0.6671,2.4954,0.7237,1
12972,454.396,179.2032,94.6922,0.849,128.5164,13459,0.7268,1.8925,0.7895,1
15162,490.762,196.8174,99.33,0.8633,138.9419,15519,0.6488,1.9815,0.7911,1
12900,456.543,190.7326,87.107,0.8896,128.1592,13103,0.5922,2.1896,0.7777,1
14521,475.163,190.299,98.1145,0.8568,135.9732,14796,0.7136,1.9396,0.8082,1
15054,492.699,202.4211,96.2051,0.8798,138.4462,15467,0.5931,2.1041,0.7793,1
14256,492.24,205.0317,89.9709,0.8986,134.7268,14738,0.682,2.2789,0.7394,1
11217,433.642,175.5699,82.5034,0.8827,119.507,11688,0.5935,2.128,0.7496,1
15362,487.863,197.8664,100.0688,0.8627,139.8553,15687,0.6182,1.9773,0.8111,1
16239,511.708,212.2871,98.8609,0.8849,143.792,16608,0.7472,2.1473,0.7793,1
16484,502.216,203.2449,104.3246,0.8582,144.8726,16874,0.6607,1.9482,0.8213,1
14813,488.074,200.2418,95.346,0.8794,137.3335,15186,0.645,2.1002,0.7814,1
15874,503.256,210.5158,97.0347,0.8874,142.1668,16148,0.7632,2.1695,0.7876,1
14050,469.179,191.4265,94.8751,0.8685,133.7498,14249,0.6261,2.0177,0.8021,1
13619,470.771,198.5006,88.6621,0.8947,131.6824,13874,0.7636,2.2388,0.7722,1
15890,501.62,202.8541,100.7817,0.8679,142.2384,16159,0.6756,2.0128,0.7936,1
